abhorrere, abhorreo, abhorrui;abweichen
abesse, absum, abfui;entfernt sein
acerbus, acerba, acerbum;schlimm
aditus,aditus m.;Zugang
admiratio, admirationis f.;Bewunderung
admittere, admitto, admisi, admissum;zulassen
aedes, aedis f.;Tempel
aequitas, aequitatis f.;Gerechtigkeit
aequus, aequa, aequum;angemessen
aetas, aetatis f.;Zeit
aliquando;einmal, irgendeinmal, endlich
aliquis, aliquid;jemand, irgendjemand, etwas, irgendetwas
amentia, amentiae f.; Wahnsinn
amplius;weiter
an;ob, oder
antiquus, antiqua, antiquum;alt
apertus, aperta, apertum;offen
arator, aratoris m.;Bauer
arma, armorum n.Pl.;kriegerische Auseinandersetzung
Asia, Asiae f.;Asia (römische Provinz)
aspectus, aspectus m.;Anblick
attendere, attendo, attendi, attendtum;aufpassen
auctoritas, auctoriatits f.;Einfuss, Ansehen
audacia, audaciae f.;Tollkühnheit
auditus, auditus m.;das Hören
boni, bonorum n.Pl.;die anständigen Leute, Patrioten
bonum;das Gut
carcer, carceris m.;Kerker
Carthago, Carthaginis f.;Karthago
Ceres, Cereris f.;Ceres
certus, certa, certum;bestimmt
civilis, civile;Bürger-
clarus, clara, clarum;berühmt, klar
clementia, clementiae f.;Milde
cogitare, cogito (de);denken (an)
colere, colo, colui, cultum;verehren, pflegen
commovere, commoveo, comovi, commotum;in Bewegung setzen
communis, commune;allgemein, gemeinsam
