otiosus;in Muße, in Ruhe
otium;freie Zeit, Ruhe, (privater) Friede
par, paris;gleich, gewachsen
particeps, participis m.Gen.;beteiligt an
partim ... partim;teils ... teils
patere, pateo, ptui;offen stehen
paulo Adv.;ein wenig
paulo ante Adv.;kurz zuvor
perditus;verkommen
perfugium;Zuflucht
pertinere ad;beitragen zu, sich erstrecken auf
perturbatio, perturbationis f.;Verwirrung, Störung
plane Adv.;deutlich
poculum;Becher
popularis, populare;des Volkes, für das Volk
possesio, possesionis f.;Besitz, Eigentum
postridie Adv.;am Tag darauf
potestas, potestatis f.;Macht, Gewalt, Möglichkeit
potius Adv.;eher, lieber
prae m-Abl.;vor
praeceptum;Lehre
praedicare;rühmen, öffentlich sprechen
praesens, praesentis;gegenwärtig
praesidium;Schutz(truppen)
praestare, praesto, praestiti;voranstehen, leisten
preatermittere, preatermitto, preatermisi,preatermissum;vorbeigehen lassen
premere, premo, pressi, pressum;drücken, pressen, immer wieder aufsuchen
principium;Anfang
privare;berauben
profecto Adv.;in der Tat
