proficere, proficio, profeci, profectum;vorwärtskommen, bewirken
proficisci, proficiscor, profectus sum;aufbrechen, abreisen
proponere, propono, proposui, propositum;vor Augen stellen
propterea;deshalb
pudet aliquem;jemand schämt sich
qualis, quale;wie (beschaffen), in welcher Verfassung
quamobrem;weshalb, deshalb
quare;weshalb, deshalb
quiescere, quiesco, quievi, quietum;ausruhen, stillsitzen
quin etiam;ja sogar
quisque;jeder
quoad;soweit
quoniam;da ja
recreari;sich erholen
referre ad;beziehen aufbrechen
reficere, reficio, refeci, refectum;ins Gleichgewicht bringen
reperire, reperio, reperri, repertum;finden
requies,requietis f.;Ruhe, Zeit zur Erholung
res adversae, rerum adversarum f.;Unglück
res secundae, rerum secundarum f;Glück
revocare;zurückrufen
robustus;kräftig, stark
rusticus;Bauer
sacrum;das Heiligtum, das Heilige
sane Adv.;durchaus
