sanus;gesund, vernünftig
sapiens, spaientis;klug, weise
scilicet Adv.;natürlich
scito (Imperativ von scire);wisse!
scriptor,scriptoris m.;Schriftsteller
secundum m.Akk.;sogleich nach
secus Adv.;weniger
sermo, sermonis m.;Gespräch
sic Adv.;so
sicu;so wie
simul Adv.;gemeinsam, zugleich
simulacrum;Bild
sive ... sive;sei es, dass ... oder sei es, dass
solacium;Trost
solere, soleo, solitus sum;pflegen, gewohnt sein
solitudo, solitudinis f.;Einsamkeit, Verlassenheit
sollicitudo,sollicitudinis f.;Unruhe
spargere, spargo, sparsi, sparsum;ausstreuen, verbreiten
spatium;Zeitraum
spirare;atmen
spiritus, spiritus m.;Atem(zug)
(mea, tua, sua) sponte;aus eigenem Antrieb
status, status m.;Zustand, Verfassung
stirps, stirpis f.;Stamm, Familie
studiosus;eifrig
suavis, suave;süß, lieb
suspicari;vermuten
suspicio, suspicionis f.;Verdacht, Misstrauen
sustenare;aufrechterhalten
