cupere, cupio;verlangen, wünschen, wollen;6L10 
multitudo, multitudinis f; große Zahl, Menge;6L10 
homo, hominis; Mensch;6L10 
aspicere, aspicio; erblicken (Aspekt);6L10 
scire, scio;kennen, verstehen, wissen;6L10 
liber, libri;Buch;6L10 
poeta m;Dichter;6L10 
comes, comitis m/f;Gefährte, Begleiter(in);6L10 
-ne (angehängt);(unübersetzter Fragepartikel);6L10 
sinistra;linke Hand;6L10 
capere, capio;nehmen, fassen, erobern (kapern, Kapazität);6L10 
corripere, corripio; ergreifen, gewaltsam an sich reißen;6L10 
carmen, carminis n;Lied, Gedicht;6L10 
legere, lego;lesen, auswählen (Lektüre, Lektion);6L10 
instituere, instituo;beginnen, einrichten, unterrichten (Institution);6L10 
an;oder (in der Frage);6L10 
placet m.Dat.;es gefällt jmd., jmd. beschließt ("Plazet");6L10 
eo;dorthin;6L10 
facere, facio;machen, tun, handeln (Fazit);6L10 
urbs, urbis f; Stadt, Hauptstadt (Urbanisierung);6L10 
provincia;Provinz ;6L10 
bellum; Krieg (Duell);6L10 
deinde;dann, darauf;6L10 
servare, servo; bewahren, retten (Konserve);6L10 
imperator, imperatoris m;Befehlshaber, Feldherr, Kaiser;6L10 
Romanus;Römer;6L10 
