obscurus;dunkel, unbekannt (obskur)
ceteri, ceterae, cetera;die Übrigen (et cetera)
nauta m;Seemann, Matrose
quiescere, quiesco, quievi;(aus)ruhen, schlafen
neque ... neque;weder ... noch
ventus;Wind (Ventilator)
mare, maris n (Abl.Sg.-i, Nom./Akk.Pl.-ia, Gen.Pl.-ium);Meer (Marine)
turbare, turbo;durcheinander bringen, stören
unda;Welle, Gewässer
sedere, sedeo, sedi;sitzen
observare, observo;beobachten
in tuto;in Sicherheit
finis, finis m;Grenze, Ende, Ziel, Zweck, Pl. Gebiet (Finale)
desiderare, desidero m.Akk.;sich sehnen nach, vermissen
celeritas, celeritatis f;Schnelligkeit (Ak-zeleration)
volare, volo;fliegen, eilen (Voliere)
pirata m;Pirat, Seeräuber
sceleratus;verbrecherisch, schädlich, Subst. Verbrecher
trahere, traho, traxi;ziehen, schleppen (Traktor)
captivus;gefangen, Subst. (Kriegs-)Gefangener
quotiens;wie oft, so oft (Quotient)
at;aber, jedoch, dagegen
o nos miseros;Ach, wir Armen/Unglücklichen!
