salutem dicere (m.Dat.);jmd. grüßen
monstrum;Wunderzeichen, Ungeheuer, Gespenst (monströs)
fabula;Geschichte, Erzählung, Theaterstück (Fabel, fabelhaft)
mirus, a, um;wunderbar, erstaunlich (Mirakel)
commovere, commoveo, commovi;bewegen, veranlassen
talis, e;derartig, ein solcher, so (beschaffen)
permovere, permoveo, permovi;beunruhigen, veranlassen
incredibilis, e;unglaublich 
antiquus, a, um;alt, altertümlich (antik, Antiquität)
tempus, temporis (n);(günstige) Zeit, Pl. Umstände 
amplus, a, um;weit, groß, bedeutend (Amplitude)
nocturnus, a, um;nächtlich
ferrum;Eisen, Waffe
vinculum;Band, Fessel; Pl. Gefängnis
mox (Adv.);bald, dann
ignotus, a, um;unbekannt
quondam (Adv.);einst, einmal, manchmal
philosophus;Philosoph
perturbare, perturbo;in Verwirrung bringen
perterrere, perterreo, perterrui; sehr erschrecken, einschüchtern
conducere, conduco, conduxi;zusammenführen, anwerben, mieten
silentium; Schweigen, Stille
movere, moveo, movi;bewegen (Motiv, Motor)
tenebrae, tenebrarum (Pl.);Dunkelheit, Finsternis
procedere, procedo, processi;(vorwärts) gehen, vorrücken (Prozession, Prozess)
abesse, absum, afui; abwesend sein, fehlen (absent, Absentenheft)
abire, abeo, abii;weggehen
invenire, invenio, inveni;finden, erfinden (Inventur, Inventar)
sinere, sino, sivi;lassen, erlauben
liber, libera, liberum;frei (Liberalismus, liberal)
vale;leb'wohl!
