mittere, mitto, misi, missum;loslassen, schicken, werfen
paulatim Adv.;allmählich
campus; Feld, freier Platz, Ebene
annus;Jahr
civis, civis m (Gen.Pl. -ium);Bürger (zivil)
censere, censeo, censui, censum (m. Akk.);meinen, einschätzen, seine Stimme abgeben (für)
longus, a, um;lang, weit
instruere, instruo, instruxi, instructum;aufstellen, ausrüsten, unterrichten (Instruktion)
agere, ago, egi, actum;handeln, treiben, verhandeln
complures, complura (Gen.Pl. complurium);mehrere
nomen, nominis n;Name (Pronomen)
deligere, deligo, delegi, delectum;auswählen (Delegierter)
legere, lego, legi, lectum;lesen, auswählen
circum m.Akk.;um...herum, rings um (circa)
ducere, duco, duxi, ductum;führen, ziehen
ponere, pono, posui, positum;(auf)stellen, (hin)legen, setzen (Position)
sanguis, sanguinis m;Blut (Sanguiniker)
interficere, interficio, interfeci, interfectum;töten, vernichten
excipere, excipio, excepi, exceptum;aufnehmen, eine Ausnahme machen (exzeptionell)
supplex, supplicis;demütig bittend
publicus, a, um;öffentlich, staatlich (publik)
mandare, mando;einen Auftrag geben, übergeben (Mandat)
movere, moveo, movi, motum;bewegen (Motiv)
augere, augeo, auxi, auctum;vermehren, vergrößern (Auktion)
gloria;Ehre, Ruhm
officium;Dienst, Pflicht(gefühl) (Offizier)
debere, debeo, debui, debitum;müssen, sollen, schulden
religio, religionis f;Glaube, Gottesverehrung, Frömmigkeit, Gewissenhaftigkeit, Aberglaube
respicere, respicio, respexi, respectum;zurückblicken, berücksichtigen (Respekt)
prex, precis f;Bitte, Pl. Gebet
habere, habeo, habui, habitum;haben, halten
videre, video, vidi, visum;sehen, darauf achten
dare, do, dedi, datum;geben
colere, colo, colui, cultum;bewirtschaften, pflegen, verehren
commovere, commoveo, commovi, commotum; bewegen, veranlassen
