mittere, mitto, misi, missum;loslassen, schicken, werfen;7L25 
paulatim Adv.;allmählich;7L25 
campus; Feld, freier Platz, Ebene;7L25 
civis, civis m (Gen.Pl. -ium);Bürger (zivil);7L25 
censere, censeo, censui, censum (m. Akk.);meinen, einschätzen, seine Stimme abgeben (für);7L25 
longus, a, um;lang, weit;7L25 
instruere, instruo, instruxi, instructum;aufstellen, ausrüsten, unterrichten (Instruktion);7L25 
pariter Adv.;ebenso, gleichzeitig;7L25 
palam Adv.;bekannt, in aller Öffentlichkeit;7L25 
agere, ago, egi, actum;handeln, treiben, verhandeln;7L25 
complures, complura (Gen.Pl. complurium);mehrere;7L25 
nomen, nominis n;Name (Pronomen);7L25 
deligere, deligo, delegi, delectum;auswählen (Delegierter);7L25 
legere, lego, legi, lectum;lesen, auswählen;7L25 
circum m.Akk.;um...herum, rings um (circa);7L25 
ducere, duco, duxi, ductum;führen, ziehen;7L25 
ponere, pono, posui, positum;(auf)stellen, (hin)legen, setzen (Position);7L25 
illic Adv.;dort;7L25 
sanguis, sanguinis m;Blut (Sanguiniker);7L25 
interficere, interficio, interfeci, interfectum;töten, vernichten;7L25 
excipere, excipio, excepi, exceptum;aufnehmen, eine Ausnahme machen (exzeptionell);7L25 
supplex, supplicis;demütig bittend;7L25 
publicus, a, um;öffentlich, staatlich (publik);7L25 
mandare, mando;einen Auftrag geben, übergeben (Mandat);7L25 
movere, moveo, movi, motum;bewegen (Motiv);7L25 
officium;Dienst, Pflicht(gefühl) (Offizier);7L25 
debere, debeo, debui, debitum;müssen, sollen, schulden;7L25 
religio, religionis f;Glaube, Gottesverehrung, Frömmigkeit, Gewissenhaftigkeit, Aberglaube;7L25 
respicere, respicio, respexi, respectum;zurückblicken, berücksichtigen (Respekt);7L25 
prex, precis f;Bitte, Pl. Gebet;7L25 
augere, augeo, auxi, auctum;vermehren, vergrößern (Auktion);7L25 
habere, habeo, habui, habitum;haben, halten;7L25 
videre, video, vidi, visum;sehen, darauf achten;7L25 
dare, do, dedi, datum;geben;7L25 
colere, colo, colui, cultum;bewirtschaften, pflegen, verehren;7L25 
commovere, commoveo, commovi, commotum; bewegen, veranlassen;7L25 



