hic, haec, hoc;dieser, diese, dieses (hier), folgender;7L26 
ille, illa, illud;jener, jene, jenes;7L26 
illuc (Adv.);dahin, dorthin;7L26 
praeclarus, a, um;großartig;7L26 
spectaculum;Schauspiel (Spektakel);7L26 
victor, victoris (Adj.);siegreich;7L26 
dux, ducis (m);Anführer;7L26 
capere, capio, cepi, captum;fassen, nehmen, erobern;7L26 
nimius, a, um;übermäßig, zu groß;7L26 
permovere, permoveo, permovi, permotum;beunruhigen, veranlassen;7L26 
triumphus; Triumph(zug);7L26 
mortalis,e;sterblich; Subst. Mensch (Salto mortale);7L26 
pristinus, a, um;früher;7L26 
conficere, conficio, confeci, confectum;beenden, fertig machen (Konfektion, Konfitüre);7L26 
incedere, incedo, incessi, incessum (m.Akk.);heranrücken, eintreten, (jmd.) befallen;7L26 
signum;Merkmal, Zeichen, Statue;7L26 
aureus, a, um; golden;7L26 
aes, aeris (n);Erz, Geld;7L26 
facere, facio, feci, factum;machen, tun, handeln;7L26 
tabula;Tafel, Gemälde, Aufzeichnung (Tabelle, Tablette);7L26 
regius, a, um;königlich;7L26 
tantus, a, um;so groß, so viel;7L26 
argentum; Silber (Argentinien);7L26 
vincere, vinco, vici, victum;(be)siegen, übertreffen;7L26 
dignitas, dignitatis (f);Würde, Ansehen, (gesellschaftliche) Stellung;7L26 
ambo, ambae, ambo;beide (zusammen);7L26 
miseria;Not, Elend, Unglück (Misere);7L26 
simul (Adv.);zugleich, gleichzeitig (simultan);7L26 
eques, equitis (m);Reiter, Ritter;7L26 
Galli, Gallorum; die Gallier;7L26 
































