consulere, consulo, consului, consultum; m. Akk. befragen, de m. Abl. beraten ber, in m. Akk. Maßnahmen ergreifen gegen, m. Dat. sorgen für;7L35 
curae esse m. Dat;jmd. Sorge bereiten, jmd. wichtig sein;7L35 
plurimi, ae, a; sehr viele;7L35 
portus, portus m; Hafen;7L35 
diversus, a, um;entgegengesetzt, feindlich, verschieden (divers);7L35 
lingua;Rede, Sprache (Linguistik);7L35 
optimus, a, um;der beste, sehr gut (optimal, Optimist);7L35 
constare, consto, constiti;feststehen, kosten (konstant, Konstanze);7L35 
magno constare;viel kosten, teuer sein;7L35 
usus, usus m;Benutzung, Nutzen;7L35 
usui esse;von Nutzen sein;7L35 
sumere, sumo, sumpsi, sumptum;nehmen;7L35 
pretium;Preis, Wert, Geld (Preziosen);7L35 
magno pretio emere/vendere;(für einen hohen Preis) teuer kaufen/verkaufen;7L35 
maximus, a, um;der größte, sehr groß (maximal, Maximum);7L35 
honori esse m. Dat.;jmd. Ehre verschaffen;7L35 
sciliet Adv.;freilich, natürlich, selbstverständlich;7L35 
emere, emo, emi, emptum;kaufen;7L35 
lavere, lavo, lavi, lautum;waschen, reinigen;7L35 
manus manum lavat;eine Hand wäscht die andere;7L35 
quippe;freilich;7L35 
minimus, a, um;der kleinste, der geringste (Minimum, minimal, Minimalist);7L35 
vehere, veho, vexi, vectum;fahren, tragen, ziehen (Vehikel, Vektor);7L35 
maxime Adv.;am meisten, besonderes;7L35 
Latinus, a, um;lateinisch, ("latinisch", nach der Landschaft Latinum);7L35 
Italicus, a, um;aus Italien stammend ("italisch" , nach den Italern);7L35 

