unde;woher;7L38 
quare;weshalb, wodurch, rel. Satzanschluss: deshalb;7L38 
hercule(s)!;beim Hercules!;7L38 
quid actum est?;was ist passiert?;7L38 
libertinus;Freigelassener;7L38 
dives, divitis;reich;7L38 
rarus, a, um;selten, vereinzelt (rar, Rarit‰t);7L38 
modo Adv.;eben (noch), nur;7L38 
singulus, a, um;je ein, jeder einzelne (Single, Singular);7L38 
tres, tres, tria;drei (Trio);7L38 
mollis, e;weich, angenehm, freundlich (Moll, mollig);7L38 
idoneus, a, um;geeignet, passend;7L38 
os, oris n;Gesicht, Mund (oral);7L38 
in ore omnium esse;in aller Munde sein;7L38 
mihi magnae curae est;es ist mir sehr wichtig;7L38 
spectare, specto;betrachten, hinsehen, anstreben;7L38 
imponere, impono, imposui, impositum;auferlegen, (hin)einsetzen (imponieren);7L38 
pes, pedis m;Fuﬂ (Pedal, Expedition);7L38 
nondum;noch nicht;7L38 
cantare;singen (Kantate);7L38 
nimium Adv.;(all)zu, (all)zu sehr;7L38 
diligens, diligentis;gewissenhaft, sorgf‰ltig;7L38 
bona animi;innere Werte;7L38 
laus, laudis f;Lob, Ruhm;7L38 
laudi esse;lobenswert sein;7L38 
Hercules, Herculis;Hercules (griechischer Nationalheld, Sohn Jupiters);7L38 
