plebs, plebis f;(nicht adeliges, einfaches)Volk (Plebejer, Plebiszit);7L39 
consuescere, consuesco, consuevi, consuetum;sich gewöhnen (an), Perf.: gewohnt sein (Kostüm);7L39 
multum/omnia posse;(viel/alles können) große/unumschränkte Macht haben;7L39 
plurimum Adv.;am meisten, sehr viel;7L39 
nobilitas, nobilitatis f;Adel, vornehme Abstammung (Nobilität);7L39 
manus, manus f;Hand, Schar (von Bewaffneten);7L39 
ordo, ordinis m;Ordnung, Reihe, Stand (Orden, Ko-ordinate, (extra)ordinär);7L39 
iudicium;Gericht, Urteil;7L39 
poena;Strafe;7L39 
sermo, sermonis m;Äußerung, Gerede, Gespräch, Sprache ("Sermon");7L39 
aut;oder;7L39 
causa (nachgestellt) m. Gen.;wegen;7L39 
frequens, frequentis;häufig, zahlreich (Frequenz, frequentieren);7L39 
numerus;Menge, Zahl (Nummer, nummerieren, numerisch);7L39 
versus, versus m;Zeile, Vers;7L39 
discere, disco, didici;lernen, erfahren;7L39 
iuventus, iuventutis f;Jugend;7L39 
tradere, trado, tradidi, traditum;übergeben, überliefern (tradieren, Tradition);7L39 
sidus, sideris n;Stern, Sternbild;7L39 
potestas, potestatis f;(Amts-)Gewalt, Macht;7L39 
littera;Buchstabe, Pl. Brief, Literatur, Wissenschaft (Letter, Alliteration);7L39 
litteris mandare;schriftlich festhalten, aufschreiben;7L39 
tametsi;obwohl;7L39 
causam affere;als Grund nennen;7L39 
vulgus, vulgi n;die Leute (aus dem Volk), der Plöbel, die große Masse (vulgär);7L39 
memoriae studere;das Gedächtnis üben;7L39 
aperire, aperio, aperui, apertum;aufdecken, öffnen;7L39 
rapere, rapio, rapui, raptum;wegführen, rauben, wegreißen;7L39 
Druides, Druidum m;Druiden (Priester der Kelten);7L39 
