ut Subj. m. Konj.;dass, sodass, damit;7L40 
ne Subj. m. Konj.;dass nicht, damit nicht, dass (nach Ausdrücken des Fürchtens und Hinderns);7L40 
cum Subj. m. Konj.;als, nachdem, weil, obwohl, während (dagegen);7L40 
contendere, contendo, contendi;eilen, sich anstengnen, kämpfen, behaupten;7L40 
auxilium;Hilfe, Pl. Hilfstuppen;7L40 
conscribere, conscribo, conscripsi, conscriptum;aufschreiben, verfassen;7L40 
milites conscribere;Soldaten anwerben;7L40 
libertas, libertatis f;Freiheit;7L40 
princeps, principis m;der Erste, der führende Mann (Prinz);7L40 
vicus;Dorf, Gasse;7L40 
amicitia;Freundschaft;7L40 
demonstrare, demonstro;beweisen, darlegen (demonstrieren, Demonstrativpronomen);7L40 
adducere, adduco, adduxi, adductum;heranführen, veranlassen;7L40 
referre, refero, rettuli, relatum;(zurück)bringen, berichten (Referat, relativ);7L40 
facile Adv.;leicht (zu tun);7L40 
deficere a m. Abl.;abfallen von;7L40 
auctoritas, auctoritatis f;Ansehen, Einfluss, Macht (Autorität);7L40 
efficere, efficio, effeci, effectum;bewirken, herstellen (effizient, Effekt);7L40 
licentia;Freiheit, Willkür (Lizenz);7L40 
revocare, revoco;zurückrufen;7L40 
adhuc Adv.;bis jetzt, noch;7L40 
timere, ne;fürchten, dass;7L40 
novis rebus studere;nach Umsturz streben;7L40 
castra, castrorum Pl.;Lager;7L40 
poscere, posco, poposci;fordern, verlangen;7L40 
centum indekl.;hundert (Zentimeter, Procent);7L40 
obses, obsidis m/f;Geisel;7L40 
considere, consido, consedi;sich setzen, sich niederlassen;7L40 
Treveri, Treverorum;die Trevier (gallischer Stamm);7L40 
