iste, ista, istud (Gen. istius, Dat. isti);dieser (da);7L42 
gaudio esse;Freude bereiten;7L42 
vetus, veteris;alt (Veteran);7L42 
dictam;Ausspruch;7L42 
grandis, e;alt, bedeutend, groß (grandios);7L42 
cultus, cultus m;Bildung, Lebensweise (Kultur, kultiviert);7L42 
sapere, sapio, sapii;Geschmack haben, Verstand haben;7L42 
par, paris;ebenbürtig, gleich (Paar, Parität);7L42 
dextera;die rechte Hand, die Rechte;7L42 
gladius;Schwert (Gladiole, Gladiator);7L42 
solere, soleo (m. Inf.);gewöhnlich etwas tun, gewohnt sein;7L42 
ferus, a, um;wild;7L42 
oppugnare, oppugno;angreifen;7L42 
circumvenire, circumvenio, circumveni, circumventum; umringen, umzingeln;7L42 
conservare, conservo (a m. Abl.);retten (vor), bewahren (konservativ, Konserve);7L42 
vivus, a, um;lebend, lebendig;7L42 
babarus, a, um;ausländisch, unzivilisiert, Subst. Ausländer, "Barbar" (Barbar);7L42 
impetus, impetus m;Angriff, Schwung;7L42 
occidere, occido, occidi;umkommen, untergehen (Okzident);7L42 
