utinam;hoffentlich, wenn doch!;8L43 
Romae;in Rom;8L43 
consuetudo, consuetudinis f;Gewohnheit;8L43 
consuetudo vitae;gewohnte Lebensweise;8L43 
differre, differo, distuli, dilatum (a m. Abl.);sich unterscheiden (von) (differieren, Differenz);8L43 
deducere, deduco, deduxi, deductum;hinführen, wegführen (Deduktion);8L43 
praeterea Adv.;außerdem;8L43 
habitare, habito;bewohnen, wohnen;8L43 
humanus, a, um;gebildet, menschlich (human, Humanität);8L43 
relinquere, relinquo, reliqui, relictum;unbeachtet lassen, verlassen, zurücklassen;8L43 
asper, aspera, asperum;rau, streng;8L43 
hiems, hiemis f;Winter, Unwetter;8L43 
tempestas, tempestatis f;Sturm, (schlechtes) Wetter, Zeit;8L43 
femina;Frau (Femininum, feminin);8L43 
quisquis, quaequae, quidquid (quicquid);jeder, der/alles, was;8L43 
quin Subj. m. Konj.;dass (in festen Wendungen);8L43 
non dubito, quin;ich zweifle nicht, dass;8L43 
prope Adv.;nahe, beinahe;8L43 
plus, pluris;mehr (plus, Plural);8L43 
alibi Adv.;anderswo (Alibi);8L43 
sol, solis m;Sonne (Solarium);8L43 
luna;Mond;8L43 
reliquus, a, um;künftig, übrig (Reliquien);8L43 
immortalis, e;unsterblich;8L43 
caedere, caedo, cecidi, caesum;fällen, niederschlagen, töten;8L43 
sanctus, a, um;ehrwürdig, heilig (Sankt[St.]);8L43 
ira incensus;zornentbrannt;8L43 
bene vertere;zum Guten wenden;8L43 
Germani, Germanorum;die Germanen;8L43 
Danubius;die Donau;8L43 
Germania;Germanien;8L43 
