fieri, fio, factus sum;gemacht werden, geschehen, werden;8L45 
parere, pario, peperi, partum;zur Welt bringen, schaffen;8L45 
victoriam parere (de m. Abl.) ;einen Sieg (über jem.) davontragen;8L45 
vulgo Adv.;allgemein, gewöhnlich (vulgär);8L45 
venire, venio, veni, ventum;kommen;8L45 
servitus, servitutis f;Sklaverei;8L45 
acies, aciei f;Schlachtordnung, Schlacht;8L45 
incertus, a, um;ungewiss, unsicher;8L45 
castra ponere;ein Lager bauen/aufschlagen;8L45 
munitio, munitionis f;Bau, Befestigung;8L45 
inferre, infero, intuli, illatum;hineintragen, zufügen;8L45 
bellum inferre m.Dat.;angreifen;8L45 
providere, provideo, providi, provisum;m. Akk. vorhersehen, m. Dat. sorgen für;8L45 
tegere, tego, texi, tectum;bedecken, schützen, verbergen;8L45 
quidem Adv.;freilich, gewiss, wenigstens, zwar;8L45 
subicere, subicio, subieci, subiectum;darunterlegen, unterwerfen;8L45 
caedes, caedis f;Mord, Blutbad;8L45 
vindicare, vindico;beanspruchen, bestrafen;8L45 
tertius, a, um;der dritte;8L45 
nihil pertinet (ad m. Akk.);es ist unwichtig/hat keine Bedeutung (für);8L45 
an (im ind. Fragesatz);ob (nicht);8L45 
potius Adv.;eher, lieber;8L45 
voluntas, voluntatis f;Absicht, Wille, Zustimmung;8L45 
ater, atra, atrum;schwarz, düster;8L45 
