umquam Adv.;jemals;8L48 
qualis, e;wie (beschaffen) (Qualität, Qualifikation);8L48 
adversus;(m.Akk.) gegen, (Adv.) entgegen;8L48 
odisse, odi Perf.;hassen;8L48 
brevis, e;kurz (Brief);8L48 
iudicare,iudico;beurteilen, urteilen (Judikative);8L48 
ne im Hauptstz;nicht (verneinter Befehl oder Wunsch);8L48 
ne Subj. m. Konj.;dass nicht, damit nicht, dass (nach Ausdrücken des Fürchtens oder Hinderns);8L48 
fingere, fingo, finxi, fictum;gestalten, sich (etwas) ausdenken (fingieren, Fiktion, fiktiv);8L48 
permittere, permitto, permisi, permissum;erlauben, überlassen;8L48 
temperare, tempero (a m. Abl.);sich fernhalten (von);8L48 
temperare, tempero m. Dat.;maßvoll gebrauchen, zurückhalten;8L48 
temperare, tempero m. Akk.;lenken, ordnen;8L48 
alienus, a, um;fremd (Alien);8L48 
omnino Adv.;insgesamt, überhaupt, völlig;8L48 
latere, lateo, latui;verborgen sein (latent);8L48 
quod maius est;was noch wichtiger ist;8L48 
in deum credere;an Gott glauben;8L48 
inter eos constat;es steht für sie fest;8L48 
forma;Form, Gestalt, Schönheit (formen, Formel, Formation, informieren, transformieren);8L48 
addere, addo, addidi, additum;hinzufügen (addieren, Addition);8L48 
bene facere, quod;gut daran tun, dass;8L48 
lumen, luminis n;Licht, Auge;8L48 
dignus, a, um (m. Abl.);wert, würdig (einer Sache);8L48 
